normalized_artists,normalized_title,source_position,video_id,video_url,candidate_rank,candidate_score,candidate_variant,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,tempo,time_sig,key_of,mode,open_key,danceability,acousticness
Static-X,Stem,6,eIp2atwDIDY,https://music.youtube.com/watch?v=eIp2atwDIDY,1,0.9760,title_only,Elj3l,Stem,Static‐X,https://getsongbpm.com/song/stem/Elj3l,79,4/4,C,major,1d,50,1
Static-X,Stem,6,eIp2atwDIDY,https://music.youtube.com/watch?v=eIp2atwDIDY,2,0.7600,title_only,vvqvm,Stem,Twine,https://getsongbpm.com/song/stem/vvqvm,,,,minor,,,
Static-X,Stem,6,eIp2atwDIDY,https://music.youtube.com/watch?v=eIp2atwDIDY,3,0.7480,title_only,KOJE6x,Stem,Sister Crayon,https://getsongbpm.com/song/stem/KOJE6x,127,3/4,F#,major,7d,50,36
Current Joys,Blondie,14,Zm_GfzD80hQ,https://music.youtube.com/watch?v=Zm_GfzD80hQ,1,0.7480,title_only,OYq46p,Blondie,JerryCan,https://getsongbpm.com/song/blondie/OYq46p,,,,minor,,,
Current Joys,Blondie,14,Zm_GfzD80hQ,https://music.youtube.com/watch?v=Zm_GfzD80hQ,2,0.7459,title_only,638gO,Blondie,Iron City Houserockers,https://getsongbpm.com/song/blondie/638gO,146,4/4,D,major,3d,38,1
Current Joys,Blondie,14,Zm_GfzD80hQ,https://music.youtube.com/watch?v=Zm_GfzD80hQ,3,0.7339,title_only,1wnnEV,Blondie,Discomighty,https://getsongbpm.com/song/blondie/1wnnEV,100,4/4,F,minor,9m,73,23
Radiohead,Spectre,16,CLiDemXYSLc,https://music.youtube.com/watch?v=CLiDemXYSLc,1,0.8000,title_only,PNx78l,Spectre,Karmacoda,https://getsongbpm.com/song/spectre/PNx78l,80,4/4,F,minor,9m,43,5
Radiohead,Spectre,16,CLiDemXYSLc,https://music.youtube.com/watch?v=CLiDemXYSLc,2,0.7916,title_only,o4BWL,Spectre,Revelation,https://getsongbpm.com/song/spectre/o4BWL,160,4/4,C#,minor,5m,53,1
Radiohead,Spectre,16,CLiDemXYSLc,https://music.youtube.com/watch?v=CLiDemXYSLc,3,0.7671,title_only,ADrJop,Spectre,D.Diggler,https://getsongbpm.com/song/spectre/ADrJop,123,4/4,C,major,1d,82,1
Mitski,My Love Mine All Mine,18,Qy9LTRu89FA,https://music.youtube.com/watch?v=Qy9LTRu89FA,1,0.6941,title_first2,O7PxR,My Love,Wings,https://getsongbpm.com/song/my-love/O7PxR,120,4/4,F,major,12d,43,26
