normalized_artists,normalized_title,source_position,video_id,video_url,raw_candidate_count,best_score
Schmalgauzen,уночі,15,GImHu7QWTEY,https://music.youtube.com/watch?v=GImHu7QWTEY,0,0.0000
Beyond Remembrance,Alternate Resident Evil Save Room Music,50,epPjc73iT2w,https://music.youtube.com/watch?v=epPjc73iT2w,0,0.0000
Shira Choir,Mimkoimchu,62,y1thKzyRxkU,https://music.youtube.com/watch?v=y1thKzyRxkU,0,0.0000
Encapsulation,Alternate Resident Evil Save Room Music,67,J2_ifsAX4Gg,https://music.youtube.com/watch?v=J2_ifsAX4Gg,0,0.0000
Rowan Lee Hartsuiker,Chinggis Magtaal,68,gF4q6PSkRw0,https://music.youtube.com/watch?v=gF4q6PSkRw0,0,0.0000
Khusugtun,Praise of Chinggis Khaan,69,J5jI59BQjzs,https://music.youtube.com/watch?v=J5jI59BQjzs,10,0.4563
The Main Squeeze,"Have a Cigar"" (Pink Floyd)",72,FdCkXQ6ciXg,https://music.youtube.com/watch?v=FdCkXQ6ciXg,10,0.4640
Batzorig Vaanchig,The Beautiful Steppe,80,ec73IZloJhc,https://music.youtube.com/watch?v=ec73IZloJhc,0,0.0000
Angelo Badalamenti,Moving Through Time,84,i3BhWXi5lzo,https://music.youtube.com/watch?v=i3BhWXi5lzo,0,0.0000
Stoic Music,Storm Edge,97,Zt7rxV2i8cE,https://music.youtube.com/watch?v=Zt7rxV2i8cE,0,0.0000
CØL,One Last Touch...,118,wKv6zi7hzzc,https://music.youtube.com/watch?v=wKv6zi7hzzc,0,0.0000
Rotting Christ,Daimonon Vrosis (Re-recorded),119,ELOqwWO8vAc,https://music.youtube.com/watch?v=ELOqwWO8vAc,0,0.0000
Diddy Heil Epstein,Full Lyric Video (tiktok audio),125,CTfAn-6trNQ,https://music.youtube.com/watch?v=CTfAn-6trNQ,0,0.0000
Cities Last Broadcast; Fractalyst,Imprecise Waltz,126,FzvqjWiQd4U,https://music.youtube.com/watch?v=FzvqjWiQd4U,0,0.0000
Wounded Masquerade,my lungs are just rooms for ghosts,127,c776nK4no0Q,https://music.youtube.com/watch?v=c776nK4no0Q,5,0.4073
Atrium Carceri,Pathway to Nothing,129,4iKqzUEmKGA,https://music.youtube.com/watch?v=4iKqzUEmKGA,0,0.0000
Metatron Omega,Megalosthronos,140,TP0_3JMntAc,https://music.youtube.com/watch?v=TP0_3JMntAc,0,0.0000
Emerelle,"Evenstar (""Lord of the Rings"")",144,2GdWWPVMITc,https://music.youtube.com/watch?v=2GdWWPVMITc,0,0.0000
FLat7,パス・トゥ・ハート - Path To Heart,153,baaDERtnt2o,https://music.youtube.com/watch?v=baaDERtnt2o,0,0.0000
揽佬SKAI ISYOURGOD,求签,160,Jnkm6kM4Tn0,https://music.youtube.com/watch?v=Jnkm6kM4Tn0,0,0.0000
攬佬SKAI ISYOURGOD & AR劉夫陽,大展鴻圖(Blueprint Supreme),161,yWT-UopFlAs,https://music.youtube.com/watch?v=yWT-UopFlAs,0,0.0000
攬佬SKAI ISYOURGOD,八方來財(Stacks from All Sides),168,cUwnLvgdo5g,https://music.youtube.com/watch?v=cUwnLvgdo5g,0,0.0000
Misanthrop,Blod Besvimelse,183,sapvbf2CKoE,https://music.youtube.com/watch?v=sapvbf2CKoE,0,0.0000
PATRIARKH,WIERSZALIN V,184,NGIx9z5k3Go,https://music.youtube.com/watch?v=NGIx9z5k3Go,0,0.0000
Eminem,Venom (Music From The Motion Picture),189,pB-B6DUY0OY,https://music.youtube.com/watch?v=pB-B6DUY0OY,0,0.0000
Земфира,П.М.М.Л.,197,gqXde_na_YA,https://music.youtube.com/watch?v=gqXde_na_YA,0,0.0000
Pogo,Grover Groove,201,H5Vrom3ngSE,https://music.youtube.com/watch?v=H5Vrom3ngSE,0,0.0000
Peppino Gagliardi,Che vuole questa musica stasera,228,0g16tSwpvwQ,https://music.youtube.com/watch?v=0g16tSwpvwQ,0,0.0000
Smother dsbm,pain agony (Dsbm),232,7CKrMkCmBsY,https://music.youtube.com/watch?v=7CKrMkCmBsY,0,0.0000
Deftones,infinite source,235,jSNvyzsNEaQ,https://music.youtube.com/watch?v=jSNvyzsNEaQ,0,0.0000
Hideki Taniuchi,Tokei no Hari no Oto,247,M7h8XlbQ4aA,https://music.youtube.com/watch?v=M7h8XlbQ4aA,0,0.0000
Deadspace,Pain's Grey,248,7LzF3EhLkLQ,https://music.youtube.com/watch?v=7LzF3EhLkLQ,0,0.0000
Kra$h,"Yours Truly, Krash",255,g55E5dofoJY,https://music.youtube.com/watch?v=g55E5dofoJY,0,0.0000
Macintosh Plus,私はそれで午前ZONE,258,DK_sVdH2PwU,https://music.youtube.com/watch?v=DK_sVdH2PwU,0,0.0000
Klaus Badelt,Swords Crossed,265,QQLErKfQ4LU,https://music.youtube.com/watch?v=QQLErKfQ4LU,0,0.0000
Imperial Orchestra,Interstellar (Original Score),269,Vdi8c51e-ME,https://music.youtube.com/watch?v=Vdi8c51e-ME,0,0.0000
Meshuggah,Broken Cog,273,ESgBunzLJyI,https://music.youtube.com/watch?v=ESgBunzLJyI,0,0.0000
Black Sabbath,Changes (2009 Remaster),276,exfhPVHOZzM,https://music.youtube.com/watch?v=exfhPVHOZzM,0,0.0000
