decision,reason,normalized_artists,normalized_title,source_position,video_id,video_url,best_match_score,best_match_artist,best_match_title,best_match_id
,ambiguous,Frank Zappa,Watermelon In Easter Hay,73,j3yE2NAdNKo,https://music.youtube.com/watch?v=j3yE2NAdNKo,1.0000,Frank Zappa,Watermelon In Easter Hay,28MENP
,ambiguous,Dave Brubeck,Take Five,87,tT9Eh8wNMkw,https://music.youtube.com/watch?v=tT9Eh8wNMkw,1.0000,Dave Brubeck,Take Five,kZDLnE
,ambiguous,Joe Dassin,Salut,134,TD-wb3drwl4,https://music.youtube.com/watch?v=TD-wb3drwl4,0.9446,Joe Dassin,Salut,mZz4op
,ambiguous,Pink Floyd,Have a Cigar,215,Eq8ZiZ9xiLw,https://music.youtube.com/watch?v=Eq8ZiZ9xiLw,1.0000,Pink Floyd,Have a Cigar,j0AjDB
,ambiguous,Pink Floyd,Shine On You Crazy Diamond (Pts. 1-5),233,Tu7oq3VNgpY,https://music.youtube.com/watch?v=Tu7oq3VNgpY,1.0000,Pink Floyd,Shine On You Crazy Diamond (Pts. 1-5),rmgrOB
,ambiguous,Mgła,Age of Excuse VI,239,RSERcRTaeIE,https://music.youtube.com/watch?v=RSERcRTaeIE,1.0000,Mgła,Age of Excuse VI,r9zk0w
,ambiguous,Satie,Gymnopédie No. 1,251,2WfaotSK3mI,https://music.youtube.com/watch?v=2WfaotSK3mI,0.9568,Erik Satie,Gymnopédie no. 1,JywQo
,ambiguous,Debussy,Clair de Lune,252,WNcsUNKlAKw,https://music.youtube.com/watch?v=WNcsUNKlAKw,0.8800,Claude Debussy,Suite bergamasque: III. Clair de lune,BBK5Q
,ambiguous,Uriah Heep,Lady in Black,316,fipplWIr1SY,https://music.youtube.com/watch?v=fipplWIr1SY,0.9434,Uriah Heep,Lady In Black,OMx37G
,ambiguous,Nocturnal Depression,Spleen Black Metal,365,Z-vKyvMW0s4,https://music.youtube.com/watch?v=Z-vKyvMW0s4,1.0000,Nocturnal Depression,Spleen Black Metal,l7ZQR7
,ambiguous,My Chemical Romance,Disenchanted,434,95hfNjZictY,https://music.youtube.com/watch?v=95hfNjZictY,1.0000,My Chemical Romance,Disenchanted,v2x4qL
,ambiguous,My Chemical Romance,I Don't Love You,438,pqfZYvsTkkk,https://music.youtube.com/watch?v=pqfZYvsTkkk,1.0000,My Chemical Romance,I Don't Love You,mZ04RE
,ambiguous,Carpenters,Yesterday Once More,485,wawbhXQX2TQ,https://music.youtube.com/watch?v=wawbhXQX2TQ,0.9413,Carpenters,Yesterday Once More,VQyzO
,ambiguous,The Platters,Only You,503,nFy_KfFdrrk,https://music.youtube.com/watch?v=nFy_KfFdrrk,0.9520,The Platters,Only You,0RvKny
