normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Pluffaduff,PromiscuousBack,10,CS4w-3IoIbY,https://music.youtube.com/watch?v=CS4w-3IoIbY,not_found,0.0000,,,
slowme,my curse,17,uxnPprzGCLY,https://music.youtube.com/watch?v=uxnPprzGCLY,not_found,0.0000,,,
Пиріг і Батіг,Ви знаєте як липа шелестить (06.05.1911),19,x-ir7VPMuqQ,https://music.youtube.com/watch?v=x-ir7VPMuqQ,not_found,0.0000,,,
Cuckold Burger,Свин Герпатий,22,aLZ1MFDZDk4,https://music.youtube.com/watch?v=aLZ1MFDZDk4,not_found,0.0000,,,
Пиріг і Батіг,Гаї шумлять (1913),32,vOo4k3oxo5Q,https://music.youtube.com/watch?v=vOo4k3oxo5Q,not_found,0.0000,,,
Михаил Елизаров,Моя мать Ева Браун,40,6oEe8Nw3kaY,https://music.youtube.com/watch?v=6oEe8Nw3kaY,not_found,0.0000,,,
Vitaly Margulis; Frédéric Chopin,"Nocturnes, Op. 48: No. 1, Lento in C Minor",55,R6KQUdYxfrw,https://music.youtube.com/watch?v=R6KQUdYxfrw,not_found,0.0000,,,
Henrik Måwe; Frédéric Chopin,"Piano Sonata No. 2 in B Minor, Op. 35: III. Funeral March (Lento)",56,8eigWt26gfg,https://music.youtube.com/watch?v=8eigWt26gfg,not_found,0.0000,,,
Mohamed Youssef,Subhan Allah,58,LPI4f_G9cdk,https://music.youtube.com/watch?v=LPI4f_G9cdk,not_found,0.0000,,,
Waagal,Somārudrā || Throatsinging Sitar Live Looping,70,fU6HLjKnywU,https://music.youtube.com/watch?v=fU6HLjKnywU,not_found,0.0000,,,
Элстэйн Ганга Нутаг,Mongolian (Darkhad) folk song - Altai Yatga & Throat Singing,79,AlozyGsagzI,https://music.youtube.com/watch?v=AlozyGsagzI,not_found,0.0000,,,
TOMMY EMMANUEL,Classical Gas [Mason Williams] | Tommy Emmanuel,103,S33tWZqXhnk,https://music.youtube.com/watch?v=S33tWZqXhnk,not_found,0.0000,,,
паліндром,Ніщо,112,ysYOJrGpEy0,https://music.youtube.com/watch?v=ysYOJrGpEy0,not_found,0.0000,,,
Дмитрий Хворостовский & Санкт-Петербургский камерный хор дирижер Корнев Николай,Милость мира,180,doLscIcF4tQ,https://music.youtube.com/watch?v=doLscIcF4tQ,not_found,0.0000,,,
Felix Colgrave,Infernum,185,gXuDUwfwhgI,https://music.youtube.com/watch?v=gXuDUwfwhgI,not_found,0.0000,,,
Felix Colgrave,Dead Rat,186,MGdwIdrFF20,https://music.youtube.com/watch?v=MGdwIdrFF20,not_found,0.0000,,,
Patrik Pietschmann,Davy Jones (From Pirates of the Caribbean 2) (piano version),253,eGQUZ9FlUJ4,https://music.youtube.com/watch?v=eGQUZ9FlUJ4,not_found,0.0000,,,
Patrik Pietschmann,"He's a Pirate (From ""Pirates of the Caribbean"") (piano version)",254,2aBtDz87UK0,https://music.youtube.com/watch?v=2aBtDz87UK0,not_found,0.0000,,,
Pirate Pianist,"Up Is Down (From ""Pirates of the Caribbean: At World's End“) (Piano)",260,wXXBUiqgBpQ,https://music.youtube.com/watch?v=wXXBUiqgBpQ,not_found,0.0000,,,
Pirate Pianist,"Tia Dalma (From ""Pirates of the Caribbean: Dead Man's Chest“) (Piano)",262,8gZDVNqCG8M,https://music.youtube.com/watch?v=8gZDVNqCG8M,not_found,0.0000,,,
Corey Taylor,Dust in the Wind (From 'Queen of the Ring - Music From The Motion Picture') (feat. Bad Omens & Aaron Gilhuis),278,sNh23f7mUiI,https://music.youtube.com/watch?v=sNh23f7mUiI,not_found,0.0000,,,
Morkt Tre,"Той, що прародитель",283,nGUlHjsCZ2Y,https://music.youtube.com/watch?v=nGUlHjsCZ2Y,not_found,0.0000,,,
Wounded Masquerade,you (acoustic),298,8m_u47W39w8,https://music.youtube.com/watch?v=8m_u47W39w8,not_found,0.0000,,,
HIM,Join Me In Death (Demo 1998) [Sub. Español],338,aPKbzCgh-J0,https://music.youtube.com/watch?v=aPKbzCgh-J0,not_found,0.0000,,,
HIM,Gone With The Sin (Versión 1998) / Sub Español,339,FEXV_ky7vEw,https://music.youtube.com/watch?v=FEXV_ky7vEw,not_found,0.0000,,,
Urfaust,Trúbadóirí Ólta an Diabhail (Side A),362,jWrRU__3MvI,https://music.youtube.com/watch?v=jWrRU__3MvI,not_found,0.0000,,,
Andy Williams,"Love Theme From ""The Godfather"" (Speak Softly Love)",387,T7AefIn3A80,https://music.youtube.com/watch?v=T7AefIn3A80,not_found,0.0000,,,
Владимир Спиваков; Национальный филармонический оркестр России,"Щелкунчик, соч. 71, действие II картина 3: No. 14, Pas de duex - Танец феи Драже и принца Оршада",509,SPfX9pvqKaU,https://music.youtube.com/watch?v=SPfX9pvqKaU,not_found,0.0000,,,
Allan Ariza,Nightmares from the Mist - Dark Ambient Music - Immersive Lovecraftian Horror Atmosphere,541,tvTsUs0n9zw,https://music.youtube.com/watch?v=tvTsUs0n9zw,not_found,0.0000,,,
Oxygen,Dystopian Post Apocalyptic Ambient Music for Focus and Relaxation,542,1Yk9mLpaFPQ,https://music.youtube.com/watch?v=1Yk9mLpaFPQ,not_found,0.0000,,,
Factory,Post Apocalyptic Dark Ambience - Sci Fi Dark Ambient Music,547,rentoNxY6RA,https://music.youtube.com/watch?v=rentoNxY6RA,not_found,0.0000,,,
"Nov 21, 2024",Secret Data Center 7 [ALONE] Dark Ambient Focus Music,548,zE7PhuRxz4I,https://music.youtube.com/watch?v=zE7PhuRxz4I,not_found,0.0000,,,
Ensemble Rukovet,Litany of Supplication,828,nVL2G0alK8s,https://music.youtube.com/watch?v=nVL2G0alK8s,not_found,0.0000,,,
