normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Static-X,Stem,6,eIp2atwDIDY,https://music.youtube.com/watch?v=eIp2atwDIDY,not_found,0.0000,,,
Current Joys,Blondie,14,Zm_GfzD80hQ,https://music.youtube.com/watch?v=Zm_GfzD80hQ,not_found,0.0000,,,
Schmalgauzen,уночі,15,GImHu7QWTEY,https://music.youtube.com/watch?v=GImHu7QWTEY,not_found,0.0000,,,
Radiohead,Spectre,16,CLiDemXYSLc,https://music.youtube.com/watch?v=CLiDemXYSLc,not_found,0.0000,,,
Mitski,My Love Mine All Mine,18,Qy9LTRu89FA,https://music.youtube.com/watch?v=Qy9LTRu89FA,not_found,0.0000,,,
Mudvayne,King Of Pain,23,v2R8icOeBEg,https://music.youtube.com/watch?v=v2R8icOeBEg,not_found,0.0000,,,
DYING FETUS,Kill your Mother / Rape your Dog,28,t3QJtY214CM,https://music.youtube.com/watch?v=t3QJtY214CM,not_found,0.0000,,,
Ramin Djawadi; Serj Tankian,The Rains of Castamere,30,USNr_n-NYmc,https://music.youtube.com/watch?v=USNr_n-NYmc,not_found,0.0000,,,
Temple of Void,The Crawl,33,lgTMOQSQvHc,https://music.youtube.com/watch?v=lgTMOQSQvHc,not_found,0.0000,,,
Turnstile,SLOWDIVE,35,yjS8EeK-We0,https://music.youtube.com/watch?v=yjS8EeK-We0,not_found,0.0000,,,
Static-X,Destroy All,38,7wNyotJ3T_w,https://music.youtube.com/watch?v=7wNyotJ3T_w,not_found,0.0000,,,
Static-X,Otsegolation,39,KhQWKdyN208,https://music.youtube.com/watch?v=KhQWKdyN208,not_found,0.0000,,,
Deftones,my mind is a mountain,43,aLjJ8iwG8UU,https://music.youtube.com/watch?v=aLjJ8iwG8UU,not_found,0.0000,,,
Marilyn Manson,Tainted Love,45,WPlO_iEWFQc,https://music.youtube.com/watch?v=WPlO_iEWFQc,not_found,0.0000,,,
Nirvana,You Know You're Right,46,F2zJDTL6dh8,https://music.youtube.com/watch?v=F2zJDTL6dh8,not_found,0.0000,,,
Alice In Chains,Nutshell,48,_siJRgDlddY,https://music.youtube.com/watch?v=_siJRgDlddY,not_found,0.0000,,,
Beyond Remembrance,Alternate Resident Evil Save Room Music,50,epPjc73iT2w,https://music.youtube.com/watch?v=epPjc73iT2w,not_found,0.0000,,,
Hans Zimmer,I've Got My Eye On You,59,nhgQYW_pYMs,https://music.youtube.com/watch?v=nhgQYW_pYMs,not_found,0.0000,,,
Shira Choir,Mimkoimchu,62,y1thKzyRxkU,https://music.youtube.com/watch?v=y1thKzyRxkU,not_found,0.0000,,,
Blues 'n' Trouble,Blue Because Of You,63,yipcGcmnri4,https://music.youtube.com/watch?v=yipcGcmnri4,not_found,0.0000,,,
Sundazer,Cry Wolf,64,o2OZLe2j9so,https://music.youtube.com/watch?v=o2OZLe2j9so,not_found,0.0000,,,
Luigi Scordamaglia,Siamo Qui (feat. Guido Focardi),65,4VBhf_wEfE4,https://music.youtube.com/watch?v=4VBhf_wEfE4,not_found,0.0000,,,
HIM,Your Sweet 666,66,gOiFFTL5j7o,https://music.youtube.com/watch?v=gOiFFTL5j7o,not_found,0.0000,,,
Encapsulation,Alternate Resident Evil Save Room Music,67,J2_ifsAX4Gg,https://music.youtube.com/watch?v=J2_ifsAX4Gg,not_found,0.0000,,,
Rowan Lee Hartsuiker,Chinggis Magtaal,68,gF4q6PSkRw0,https://music.youtube.com/watch?v=gF4q6PSkRw0,not_found,0.0000,,,
Khusugtun,Praise of Chinggis Khaan,69,J5jI59BQjzs,https://music.youtube.com/watch?v=J5jI59BQjzs,not_found,0.0000,,,
The Main Squeeze,"Have a Cigar"" (Pink Floyd)",72,FdCkXQ6ciXg,https://music.youtube.com/watch?v=FdCkXQ6ciXg,not_found,0.0000,,,
Minoru Muraoka,Take Five,77,j88eE2iMuGU,https://music.youtube.com/watch?v=j88eE2iMuGU,not_found,0.0000,,,
Beegie Adair,Misty,78,Qk6BEu2pAV4,https://music.youtube.com/watch?v=Qk6BEu2pAV4,not_found,0.0000,,,
Batzorig Vaanchig,The Beautiful Steppe,80,ec73IZloJhc,https://music.youtube.com/watch?v=ec73IZloJhc,not_found,0.0000,,,
Rowan Lee Hartsuiker,Chinggis Khaanii Magtaal - by Rowan Hartsuiker,81,xwAbWWjeoWQ,https://music.youtube.com/watch?v=xwAbWWjeoWQ,not_found,0.0000,,,
Angelo Badalamenti,Moving Through Time,84,i3BhWXi5lzo,https://music.youtube.com/watch?v=i3BhWXi5lzo,not_found,0.0000,,,
John Mayall & The Bluesbreakers with Gary Moore,So Many Roads,96,dwc7ZEYfWYc,https://music.youtube.com/watch?v=dwc7ZEYfWYc,not_found,0.0000,,,
Stoic Music,Storm Edge,97,Zt7rxV2i8cE,https://music.youtube.com/watch?v=Zt7rxV2i8cE,not_found,0.0000,,,
