normalized_artists,normalized_title,source_position,video_id,video_url,original_artists,original_title,album,duration_seconds,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,tempo,time_sig,key_of,mode,open_key,danceability,acousticness,match_score,match_status
Rob Zombie,Superbeast,1,QC0BBgOdspo,https://music.youtube.com/watch?v=QC0BBgOdspo,Rob Zombie,Superbeast,Hellbilly Deluxe,221,zmrY,Superbeast,Rob Zombie,https://getsongbpm.com/song/superbeast/zmrY,152,4/4,Bm,minor,3m,50,1,1.0000,matched
System Of A Down,Innervision,3,jjnt-KS0ozE,https://music.youtube.com/watch?v=jjnt-KS0ozE,System Of A Down,Innervision,Steal This Album!,154,VNOD9,Innervision,System of a Down,https://getsongbpm.com/song/innervision/VNOD9,120,4/4,Fm,minor,9m,45,1,1.0000,matched
Mudvayne,Seed,7,2t3LgcIOhx8,https://music.youtube.com/watch?v=2t3LgcIOhx8,Mudvayne,Seed,The Beginning Of All Things To End,208,L8Q0j,Seed,Mudvayne,https://getsongbpm.com/song/seed/L8Q0j,122,4/4,D,major,3d,37,1,1.0000,matched
Lady Gaga,Just Dance (feat. Colby O'Donis),8,ACNwMzZejQQ,https://music.youtube.com/watch?v=ACNwMzZejQQ,Lady Gaga,Just Dance (feat. Colby O'Donis),The Fame,242,xkYWgB,Just Dance,Lady Gaga,https://getsongbpm.com/song/just-dance/xkYWgB,117,4/4,C♯m,minor,5m,82,4,1.0000,matched
Eminem,Love The Way You Lie (feat. Rihanna),9,RnkShwdXfyc,https://music.youtube.com/watch?v=RnkShwdXfyc,Eminem,Love The Way You Lie (feat. Rihanna),Recovery,264,9QOQA4,Love the Way You Lie,Eminem,https://getsongbpm.com/song/love-the-way-you-lie/9QOQA4,86,4/4,A♯,major,11d,75,25,1.0000,matched
Serj Tankian,The Unthinking Majority,12,sgaVOUE3pRM,https://music.youtube.com/watch?v=sgaVOUE3pRM,Serj Tankian,The Unthinking Majority,Elect the Dead,229,M8lD8G,The Unthinking Majority,Serj Tankian,https://getsongbpm.com/song/the-unthinking-majority/M8lD8G,119,4/4,G♯,major,9d,66,1,1.0000,matched
Deftones,Pompeji,13,_bkbq7BBomA,https://music.youtube.com/watch?v=_bkbq7BBomA,Deftones,Pompeji,Ohms,326,x6Z9j9,Pompeji,Deftones,https://getsongbpm.com/song/pompeji/x6Z9j9,147,3/4,Am,minor,1m,25,1,1.0000,matched
Mudvayne,IMN,20,QAXkeqs2o9g,https://music.youtube.com/watch?v=QAXkeqs2o9g,Mudvayne,IMN,Lost and Found,352,2VPLN,IMN,Mudvayne,https://getsongbpm.com/song/imn/2VPLN,128,4/4,G,major,2d,47,1,1.0000,matched
Mudvayne,Fall Into Sleep,21,O6jQmBJzolc,https://music.youtube.com/watch?v=O6jQmBJzolc,Mudvayne,Fall Into Sleep,Lost and Found,232,3WgMx,Fall Into Sleep,Mudvayne,https://getsongbpm.com/song/fall-into-sleep/3WgMx,146,4/4,F,major,12d,47,1,1.0000,matched
Ill Nino,I Am Loco,24,T7KC7jUlQuk,https://music.youtube.com/watch?v=T7KC7jUlQuk,Ill Nino,I Am Loco,Revolution Revolucion,211,vl0vM,I Am Loco,Ill Niño,https://getsongbpm.com/song/i-am-loco/vl0vM,174,4/4,G,major,2d,52,1,1.0000,matched
Mudvayne,Some Assembly Required,25,uqSsW7pZNeE,https://music.youtube.com/watch?v=uqSsW7pZNeE,Mudvayne,Some Assembly Required,The Beginning Of All Things To End,167,N9VXN,Some Assembly Required,Mudvayne,https://getsongbpm.com/song/some-assembly-required/N9VXN,92,4/4,Fm,minor,9m,44,1,1.0000,matched
Mudvayne,Cultivate,26,zFYWxrW28ms,https://music.youtube.com/watch?v=zFYWxrW28ms,Mudvayne,Cultivate,The Beginning Of All Things To End,258,MQRNR,Cultivate,Mudvayne,https://getsongbpm.com/song/cultivate/MQRNR,88,4/4,G,major,2d,43,1,1.0000,matched
System Of A Down,Roulette,27,ByBhN_X5nVg,https://music.youtube.com/watch?v=ByBhN_X5nVg,System Of A Down,Roulette,Steal This Album!,202,92rz4,Roulette,System of a Down,https://getsongbpm.com/song/roulette/92rz4,129,4/4,Fm,minor,9m,48,56,1.0000,matched
Serj Tankian,Harakiri,29,DaH4Pd6zsXM,https://music.youtube.com/watch?v=DaH4Pd6zsXM,Serj Tankian,Harakiri,Harakiri,260,JqApRK,Harakiri,Serj Tankian,https://getsongbpm.com/song/harakiri/JqApRK,136,4/4,Fm,minor,9m,51,1,1.0000,matched
Serj Tankian,Sky Is Over,31,HYoSsYPgRJo,https://music.youtube.com/watch?v=HYoSsYPgRJo,Serj Tankian,Sky Is Over,Elect the Dead,177,QWpJW9,Sky Is Over,Serj Tankian,https://getsongbpm.com/song/sky-is-over/QWpJW9,103,4/4,Fm,minor,9m,55,4,1.0000,matched
Mastodon,Oblivion,36,sg6jwDXpw9M,https://music.youtube.com/watch?v=sg6jwDXpw9M,Mastodon,Oblivion,Crack the Skye,347,9D21V3,Oblivion,Mastodon,https://getsongbpm.com/song/oblivion/9D21V3,132,3/4,Fm,minor,9m,27,1,1.0000,matched
Slipknot,Purity,37,HtMxyNqQCH4,https://music.youtube.com/watch?v=HtMxyNqQCH4,Slipknot,Purity,Slipknot (10th Anniversary Edition),266,NxlZN,Purity,Slipknot,https://getsongbpm.com/song/purity/NxlZN,166,4/4,F♯,major,7d,29,1,0.9904,matched
Type O Negative,Everything Dies,42,xwJDfeJJ6Tg,https://music.youtube.com/watch?v=xwJDfeJJ6Tg,Type O Negative,Everything Dies,World Coming Down,464,66PxV,Everything Dies,Type O Negative,https://getsongbpm.com/song/everything-dies/66PxV,166,4/4,B,major,6d,25,1,1.0000,matched
Marilyn Manson,Blood Honey,44,kuhGTiXWjok,https://music.youtube.com/watch?v=kuhGTiXWjok,Marilyn Manson,Blood Honey,Heaven Upside Down,251,Dq5vQn,Blood Honey,Marilyn Manson,https://getsongbpm.com/song/blood-honey/Dq5vQn,180,4/4,A♯,major,11d,42,1,1.0000,matched
