normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Static-X,Stem,6,eIp2atwDIDY,https://music.youtube.com/watch?v=eIp2atwDIDY,not_found,0.0000,,,
Pluffaduff,PromiscuousBack,10,CS4w-3IoIbY,https://music.youtube.com/watch?v=CS4w-3IoIbY,not_found,0.0000,,,
Current Joys,Blondie,14,Zm_GfzD80hQ,https://music.youtube.com/watch?v=Zm_GfzD80hQ,not_found,0.0000,,,
Schmalgauzen,уночі,15,GImHu7QWTEY,https://music.youtube.com/watch?v=GImHu7QWTEY,not_found,0.0000,,,
Radiohead,Spectre,16,CLiDemXYSLc,https://music.youtube.com/watch?v=CLiDemXYSLc,not_found,0.0000,,,
slowme,my curse,17,uxnPprzGCLY,https://music.youtube.com/watch?v=uxnPprzGCLY,not_found,0.0000,,,
Mitski,My Love Mine All Mine,18,Qy9LTRu89FA,https://music.youtube.com/watch?v=Qy9LTRu89FA,not_found,0.0000,,,
Пиріг і Батіг,Ви знаєте як липа шелестить (06.05.1911),19,x-ir7VPMuqQ,https://music.youtube.com/watch?v=x-ir7VPMuqQ,not_found,0.0000,,,
Cuckold Burger,Свин Герпатий,22,aLZ1MFDZDk4,https://music.youtube.com/watch?v=aLZ1MFDZDk4,not_found,0.0000,,,
Mudvayne,King Of Pain,23,v2R8icOeBEg,https://music.youtube.com/watch?v=v2R8icOeBEg,not_found,0.0000,,,
DYING FETUS,Kill your Mother / Rape your Dog,28,t3QJtY214CM,https://music.youtube.com/watch?v=t3QJtY214CM,not_found,0.0000,,,
Ramin Djawadi; Serj Tankian,The Rains of Castamere,30,USNr_n-NYmc,https://music.youtube.com/watch?v=USNr_n-NYmc,not_found,0.0000,,,
Пиріг і Батіг,Гаї шумлять (1913),32,vOo4k3oxo5Q,https://music.youtube.com/watch?v=vOo4k3oxo5Q,not_found,0.0000,,,
Temple of Void,The Crawl,33,lgTMOQSQvHc,https://music.youtube.com/watch?v=lgTMOQSQvHc,not_found,0.0000,,,
Turnstile,SLOWDIVE,35,yjS8EeK-We0,https://music.youtube.com/watch?v=yjS8EeK-We0,not_found,0.0000,,,
Static-X,Destroy All,38,7wNyotJ3T_w,https://music.youtube.com/watch?v=7wNyotJ3T_w,not_found,0.0000,,,
Static-X,Otsegolation,39,KhQWKdyN208,https://music.youtube.com/watch?v=KhQWKdyN208,not_found,0.0000,,,
Михаил Елизаров,Моя мать Ева Браун,40,6oEe8Nw3kaY,https://music.youtube.com/watch?v=6oEe8Nw3kaY,not_found,0.0000,,,
Deftones,my mind is a mountain,43,aLjJ8iwG8UU,https://music.youtube.com/watch?v=aLjJ8iwG8UU,not_found,0.0000,,,
Marilyn Manson,Tainted Love,45,WPlO_iEWFQc,https://music.youtube.com/watch?v=WPlO_iEWFQc,not_found,0.0000,,,
Nirvana,You Know You're Right,46,F2zJDTL6dh8,https://music.youtube.com/watch?v=F2zJDTL6dh8,not_found,0.0000,,,
