source_position,video_id,video_url,normalized_artists,normalized_title,original_artists,original_title,album,duration_seconds,key_of,mode,tempo,time_sig,open_key,match_status,match_score,match_reason,metadata_source,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,danceability,acousticness
1,QC0BBgOdspo,https://music.youtube.com/watch?v=QC0BBgOdspo,Rob Zombie,Superbeast,Rob Zombie,Superbeast,Hellbilly Deluxe,221,B,minor,152,4/4,3m,matched,1.0000,,GetSongBPM,zmrY,Superbeast,Rob Zombie,https://getsongbpm.com/song/superbeast/zmrY,50,1
3,jjnt-KS0ozE,https://music.youtube.com/watch?v=jjnt-KS0ozE,System Of A Down,Innervision,System Of A Down,Innervision,Steal This Album!,154,F,minor,120,4/4,9m,matched,1.0000,,GetSongBPM,VNOD9,Innervision,System of a Down,https://getsongbpm.com/song/innervision/VNOD9,45,1
6,eIp2atwDIDY,https://music.youtube.com/watch?v=eIp2atwDIDY,Static-X,Stem,Static-X,Stem,Wisconsin Death Trip,175,C,major,79,4/4,1d,manual_accept_broader,0.9760,,GetSongBPM,Elj3l,Stem,Static‐X,https://getsongbpm.com/song/stem/Elj3l,50,1
7,2t3LgcIOhx8,https://music.youtube.com/watch?v=2t3LgcIOhx8,Mudvayne,Seed,Mudvayne,Seed,The Beginning Of All Things To End,208,D,major,122,4/4,3d,matched,1.0000,,GetSongBPM,L8Q0j,Seed,Mudvayne,https://getsongbpm.com/song/seed/L8Q0j,37,1
8,ACNwMzZejQQ,https://music.youtube.com/watch?v=ACNwMzZejQQ,Lady Gaga,Just Dance (feat. Colby O'Donis),Lady Gaga,Just Dance (feat. Colby O'Donis),The Fame,242,C#,minor,117,4/4,5m,matched,1.0000,,GetSongBPM,xkYWgB,Just Dance,Lady Gaga,https://getsongbpm.com/song/just-dance/xkYWgB,82,4
9,RnkShwdXfyc,https://music.youtube.com/watch?v=RnkShwdXfyc,Eminem,Love The Way You Lie (feat. Rihanna),Eminem,Love The Way You Lie (feat. Rihanna),Recovery,264,A#,major,86,4/4,11d,matched,1.0000,,GetSongBPM,9QOQA4,Love the Way You Lie,Eminem,https://getsongbpm.com/song/love-the-way-you-lie/9QOQA4,75,25
10,CS4w-3IoIbY,https://music.youtube.com/watch?v=CS4w-3IoIbY,Pluffaduff,PromiscuousBack,Pluffaduff,PromiscuousBack,,217,,,,,,missing,,not_found,,,,,,,
12,sgaVOUE3pRM,https://music.youtube.com/watch?v=sgaVOUE3pRM,Serj Tankian,The Unthinking Majority,Serj Tankian,The Unthinking Majority,Elect the Dead,229,G#,major,119,4/4,9d,matched,1.0000,,GetSongBPM,M8lD8G,The Unthinking Majority,Serj Tankian,https://getsongbpm.com/song/the-unthinking-majority/M8lD8G,66,1
13,_bkbq7BBomA,https://music.youtube.com/watch?v=_bkbq7BBomA,Deftones,Pompeji,Deftones,Pompeji,Ohms,326,A,minor,147,3/4,1m,matched,1.0000,,GetSongBPM,x6Z9j9,Pompeji,Deftones,https://getsongbpm.com/song/pompeji/x6Z9j9,25,1
14,Zm_GfzD80hQ,https://music.youtube.com/watch?v=Zm_GfzD80hQ,Current Joys,Blondie,Current Joys,Blondie,Wild Heart,195,,,,,,missing,,manual_reject_broader,,,,,,,
15,GImHu7QWTEY,https://music.youtube.com/watch?v=GImHu7QWTEY,Schmalgauzen,уночі,Schmalgauzen,уночі,уночі,146,,,,,,missing,,not_found,,,,,,,
16,CLiDemXYSLc,https://music.youtube.com/watch?v=CLiDemXYSLc,Radiohead,Spectre,Radiohead,Spectre,Spectre,200,B,minor,98,,,manual_entry,1.0000,,manual,,,,,,
17,uxnPprzGCLY,https://music.youtube.com/watch?v=uxnPprzGCLY,slowme,my curse,slowme,my curse,my curse,136,,,,,,missing,,not_found,,,,,,,
18,Qy9LTRu89FA,https://music.youtube.com/watch?v=Qy9LTRu89FA,Mitski,My Love Mine All Mine,Mitski,My Love Mine All Mine,The Land Is Inhospitable and So Are We,138,A,major,114,,,manual_entry,1.0000,,manual,,,,,,
19,x-ir7VPMuqQ,https://music.youtube.com/watch?v=x-ir7VPMuqQ,Пиріг і Батіг,Ви знаєте як липа шелестить (06.05.1911),Пиріг і Батіг,Ви знаєте як липа шелестить (06.05.1911),Поетичний,169,,,,,,missing,,not_found,,,,,,,
20,QAXkeqs2o9g,https://music.youtube.com/watch?v=QAXkeqs2o9g,Mudvayne,IMN,Mudvayne,IMN,Lost and Found,352,G,major,128,4/4,2d,matched,1.0000,,GetSongBPM,2VPLN,IMN,Mudvayne,https://getsongbpm.com/song/imn/2VPLN,47,1
21,O6jQmBJzolc,https://music.youtube.com/watch?v=O6jQmBJzolc,Mudvayne,Fall Into Sleep,Mudvayne,Fall Into Sleep,Lost and Found,232,F,major,146,4/4,12d,matched,1.0000,,GetSongBPM,3WgMx,Fall Into Sleep,Mudvayne,https://getsongbpm.com/song/fall-into-sleep/3WgMx,47,1
22,aLZ1MFDZDk4,https://music.youtube.com/watch?v=aLZ1MFDZDk4,Cuckold Burger,Свин Герпатий,Дмитрий Ленковский,Cuckold Burger - Свин Герпатий,,187,,,,,,missing,,not_found,,,,,,,
23,v2R8icOeBEg,https://music.youtube.com/watch?v=v2R8icOeBEg,Mudvayne,King Of Pain,Mudvayne,King Of Pain,"By The People, For The People",277,B,minor,125,,,manual_entry,1.0000,,manual,,,,,,
24,T7KC7jUlQuk,https://music.youtube.com/watch?v=T7KC7jUlQuk,Ill Nino,I Am Loco,Ill Nino,I Am Loco,Revolution Revolucion,211,G,major,174,4/4,2d,matched,1.0000,,GetSongBPM,vl0vM,I Am Loco,Ill Niño,https://getsongbpm.com/song/i-am-loco/vl0vM,52,1
25,uqSsW7pZNeE,https://music.youtube.com/watch?v=uqSsW7pZNeE,Mudvayne,Some Assembly Required,Mudvayne,Some Assembly Required,The Beginning Of All Things To End,167,F,minor,92,4/4,9m,matched,1.0000,,GetSongBPM,N9VXN,Some Assembly Required,Mudvayne,https://getsongbpm.com/song/some-assembly-required/N9VXN,44,1
26,zFYWxrW28ms,https://music.youtube.com/watch?v=zFYWxrW28ms,Mudvayne,Cultivate,Mudvayne,Cultivate,The Beginning Of All Things To End,258,G,major,88,4/4,2d,matched,1.0000,,GetSongBPM,MQRNR,Cultivate,Mudvayne,https://getsongbpm.com/song/cultivate/MQRNR,43,1
27,ByBhN_X5nVg,https://music.youtube.com/watch?v=ByBhN_X5nVg,System Of A Down,Roulette,System Of A Down,Roulette,Steal This Album!,202,F,minor,129,4/4,9m,matched,1.0000,,GetSongBPM,92rz4,Roulette,System of a Down,https://getsongbpm.com/song/roulette/92rz4,48,56
28,t3QJtY214CM,https://music.youtube.com/watch?v=t3QJtY214CM,DYING FETUS,Kill your Mother / Rape your Dog,CannibaCorpse666,Kill your Mother  / Rape your Dog - DYING FETUS,,85,B,minor,152,4/4,3m,manual_accept_broader,1.0000,,GetSongBPM,l8X57,"Kill Your Mother, Rape Your Dog",Dying Fetus,https://getsongbpm.com/song/kill-your-mother-rape-your-dog/l8X57,36,1
29,DaH4Pd6zsXM,https://music.youtube.com/watch?v=DaH4Pd6zsXM,Serj Tankian,Harakiri,Serj Tankian,Harakiri,Harakiri,260,F,minor,136,4/4,9m,matched,1.0000,,GetSongBPM,JqApRK,Harakiri,Serj Tankian,https://getsongbpm.com/song/harakiri/JqApRK,51,1
30,USNr_n-NYmc,https://music.youtube.com/watch?v=USNr_n-NYmc,Ramin Djawadi; Serj Tankian,The Rains of Castamere,Ramin Djawadi; Serj Tankian,The Rains of Castamere,Game Of Thrones: Season 8 (Music from the HBO Series),225,C,minor,84,,,manual_entry,1.0000,,manual,,,,,,
